#"album","ABRA","Rose","electro,relaxing","https://www.youtube.com/playlist?list=PLH_QLWlQVieUYWzdfVDgSHL3qy8wom53n"
#"album","Arabic artists","100 songs initiative",,"https://www.youtube.com/channel/UClKcgLueYMDfmf4xOkLqZbg"
#"album","Aloïse Sauvage","Dévorantes",,"https://www.youtube.com/watch?v=cFgGxuy4YzA&list=OLAK5uy_kCogpEaEg9aj1Fcqzgyss0xr0ldD5-424"
"album","David Bowie","Black Star","2010s,art-rock,death,grieving,experimental,jazz,rock","https://www.youtube.com/watch?v=nRIDL2JxFMk"
"album","Doria","Freestyle OKLM",,"https://www.youtube.com/watch?v=WZZssmPtFz0"
"album","Gil Scott-Heron & Brian Jackson","Briges",,"https://www.youtube.com/watch?v=_-JiJ-QAOZw"
"album","Lafayette afro-rock band","Malik",,"https://www.youtube.com/watch?v=zo_wgLPH4JI"
#"album","Mashrou Leila","Ibn El Leil",,"https://www.youtube.com/watch?v=Ra8kMMTNuIU&list=PL0O4hK3C5ZP9k0ZTRAfjKnHOahCkI4amr"
"album","Mon Dragon","烏天狗の子供 (Karasu Tengu No Kodomo)",,"https://www.youtube.com/watch?v=qposEHFN7n0"
"album","My Analog Journal","Japanese City Pop, Soul and Jazz on Vinyl",,"https://www.youtube.com/watch?v=O-28qkBb0H8"
"album","Sevdaliza","Ison",,"https://www.youtube.com/watch?v=znV9KDsNtXY"
"album","Sevdaliza","Shabrang",,"https://www.youtube.com/watch?v=nb2TyS2C3Mk"
"album","Steve Monite","Only you","1980s,afro-boogie,funk,nigeria","https://www.youtube.com/watch?v=VMFysvYHwrs"
"album","The Blaze","With me",,"https://www.youtube.com/watch?v=uGEDSGCUkXk"
#"album","The Internet","Ego Death","relaxing","https://www.youtube.com/watch?v=CNJkas_LiCM&list=PL3uYTLFNWeCTI7RM0Ne2DbdGO6IsJYmZg"
#"album","The Internet","Feel Good","relaxing","https://www.youtube.com/watch?v=28JAS1ZUUqw&list=PL3uYTLFNWeCQinLKEF3sXxb1YDT-3ZRpM"
"album","Toots & the Maytals","Monkey man",,"https://www.youtube.com/watch?v=94fG4A_jQuM"
#"album","Tyler the Creator","Cherry bomb",,"https://www.youtube.com/playlist?list=PLfS4fNHGX-wTdh8D5za7O8Q80R7_XLEOK"
#"album","Various artists","Music from Saharan Cellphones",,"https://sahelsoundscompilations.bandcamp.com/album/music-from-saharan-cellphones"
"song","113","Partir loin",,"https://www.youtube.com/watch?v=DLMkUr_GIIc"
"song","113","Tonton du bled",,"https://www.youtube.com/watch?v=sY8Ej3tn0Gk"
"song","4 non blondes","What's up",,"https://www.youtube.com/watch?v=6NXnxTNIWkc"
"song","A tribe called Quest","Electric relaxation","1990s,Hiphop","https://www.youtube.com/watch?v=WHRnvjCkTsw"
"song","a-ha","Take on me","1980s,synth-pop","https://www.youtube.com/watch?v=HzdD8kbDzZA"
"song","A-WA","Habib Galbi","arabic,dance","https://www.youtube.com/watch?v=g3bjZlmsb4A"
"song","A-WA","Hana Mash Hu Al Yaman","arabic,dance","https://www.youtube.com/watch?v=iD90UbVXZSE"
"song","ABRA","Fruit","electro,relaxing,sex-playlist","https://www.youtube.com/watch?v=CI1g4dnDtao"
"song","ABRA","Roses","electro,relaxing","https://www.youtube.com/watch?v=1-qcz47h9zo"
"song","Acid Arab","Gul l'Abi (feat. A-WA)","arabic,dance","https://www.youtube.com/watch?v=0e0txlm7KUo"
"song","Acid Arab","Samira (feat. Avril, Shadi Khries)","arabic,dance","https://www.youtube.com/watch?v=ibFzELEUilA"
"song","Advanced Chemistry","Fremd im eigenen Land","1990s,black,rap","https://www.youtube.com/watch?v=HcrrvjCV2Kg"
"song","Against me!","Transgender Dysphoria Blues","transgender,transphobia","https://www.youtube.com/watch?v=3_pm8KK9NCY"
"song","Against me!","True trans soul rebel","transgender","https://www.youtube.com/watch?v=JUrfrCfvZDc"
"song","Alice Cooper","School's out",,"https://www.youtube.com/watch?v=f0Q9en-GEBU"
"song","Aloïse Sauvage","À l'horizontale",,"https://www.youtube.com/watch?v=xtlyDzESjxw"
"song","Aloïse Sauvage","Dévorantes",,"https://www.youtube.com/watch?v=5KeIsw07VOw"
"song","Aloïse Sauvage","Jimy",,"https://www.youtube.com/watch?v=oxi-HhQ3J5A"
"song","Aloïse Sauvage","Omowi",,"https://www.youtube.com/watch?v=6uj_Gbtai8A"
"song","Alt-J","Taro",,"https://www.youtube.com/watch?v=rGiirjRjrdk"
"song","Amyl and the Sniffers","Gacked on anger",,"https://www.youtube.com/watch?v=hONV6GQl0ow"
"song","Amyl and the Sniffers","70's Street Munchies",,"https://www.youtube.com/watch?v=uid_8u7T13Y"
"song","Amy winehouse","Back to Black","2000s,r&b,soul","https://www.youtube.com/watch?v=TJAfLE39ZZ8"
"song","Anderson .Paak","Lockdown","2020s,black,BlackLivesMatter,funk,R&B,soul","https://www.youtube.com/watch?v=TgItkJCm09c"
"song","Angèle","Balance ton quoi",,"https://www.youtube.com/watch?v=YujAn8QpOWY"
"song","Anfalsh","Des têtes vont tomber",,"https://www.youtube.com/watch?v=9Ubg8vCnhL4"
"song","Animation","Obsession","1980s,new-wave,synth-pop","https://www.youtube.com/watch?v=hIs5StN8J-0"
"song","Aretha Franklin","Young, gifted and black","black,uplifting","https://www.youtube.com/watch?v=Thold1jasfs"
